model,precision,batch,residency_pct,compute_provenance,required_bw_gbps_for_rho1,nearest_supported_link_gbps
mixtral,fp16,1,0.0,measured_here,926.4052068434661,
mixtral,fp16,1,12.5,measured_here,810.6045559880329,
mixtral,fp16,1,25.0,measured_here,694.8039051325997,
mixtral,fp16,1,37.5,measured_here,579.0032542771662,
mixtral,fp16,1,50.0,measured_here,463.20260342173304,
mixtral,fp16,1,75.0,measured_here,231.60130171086652,
mixtral,fp16,8,0.0,measured_here,1095.989361817372,
mixtral,fp16,8,12.5,measured_here,958.9906915902003,
mixtral,fp16,8,25.0,measured_here,821.9920213630289,
mixtral,fp16,8,37.5,measured_here,684.9933511358576,
mixtral,fp16,8,50.0,measured_here,547.994680908686,
mixtral,fp16,8,75.0,measured_here,273.997340454343,
mixtral,fp16,32,0.0,measured_here,545.9110019046914,
mixtral,fp16,32,12.5,measured_here,477.6721266666049,
mixtral,fp16,32,25.0,measured_here,409.4332514285185,
mixtral,fp16,32,37.5,measured_here,341.1943761904321,
mixtral,fp16,32,50.0,measured_here,272.9555009523457,
mixtral,fp16,32,75.0,measured_here,136.47775047617284,
mixtral,nf4,1,0.0,measured_here,238.95464304018657,
mixtral,nf4,1,12.5,measured_here,209.0853126601632,
mixtral,nf4,1,25.0,measured_here,179.21598228013988,
mixtral,nf4,1,37.5,measured_here,149.3466519001166,
mixtral,nf4,1,50.0,measured_here,119.47732152009328,128.0
mixtral,nf4,1,75.0,measured_here,59.73866076004664,64.0
mixtral,nf4,8,0.0,measured_here,282.6967560137684,
mixtral,nf4,8,12.5,measured_here,247.35966151204727,
mixtral,nf4,8,25.0,measured_here,212.02256701032627,
mixtral,nf4,8,37.5,measured_here,176.68547250860522,
mixtral,nf4,8,50.0,measured_here,141.3483780068842,
mixtral,nf4,8,75.0,measured_here,70.6741890034421,128.0
mixtral,nf4,32,0.0,measured_here,140.8109190537913,
mixtral,nf4,32,12.5,measured_here,123.20955417206741,128.0
mixtral,nf4,32,25.0,measured_here,105.6081892903435,128.0
mixtral,nf4,32,37.5,measured_here,88.00682440861958,128.0
mixtral,nf4,32,50.0,measured_here,70.40545952689565,128.0
mixtral,nf4,32,75.0,measured_here,35.20272976344783,64.0
olmoe,fp16,1,0.0,measured_here,33.64558127424685,64.0
olmoe,fp16,1,12.5,measured_here,29.439883614965996,32.0
olmoe,fp16,1,25.0,measured_here,25.23418595568514,32.0
olmoe,fp16,1,37.5,measured_here,21.02848829640428,32.0
olmoe,fp16,1,50.0,measured_here,16.822790637123425,32.0
olmoe,fp16,1,75.0,measured_here,8.411395318561713,16.0
olmoe,fp16,8,0.0,measured_here,151.77691732945175,
olmoe,fp16,8,12.5,measured_here,132.80480266327027,
olmoe,fp16,8,25.0,measured_here,113.83268799708881,128.0
olmoe,fp16,8,37.5,measured_here,94.86057333090734,128.0
olmoe,fp16,8,50.0,measured_here,75.88845866472587,128.0
olmoe,fp16,8,75.0,measured_here,37.94422933236294,64.0
olmoe,fp16,32,0.0,measured_here,238.42114563678174,
olmoe,fp16,32,12.5,measured_here,208.61850243218402,
olmoe,fp16,32,25.0,measured_here,178.81585922758632,
olmoe,fp16,32,37.5,measured_here,149.0132160229886,
olmoe,fp16,32,50.0,measured_here,119.21057281839087,128.0
olmoe,fp16,32,75.0,measured_here,59.605286409195436,64.0
olmoe,nf4,1,0.0,measured_here,8.678457119926046,16.0
olmoe,nf4,1,12.5,measured_here,7.593649979935291,16.0
olmoe,nf4,1,25.0,measured_here,6.508842839944535,16.0
olmoe,nf4,1,37.5,measured_here,5.424035699953779,16.0
olmoe,nf4,1,50.0,measured_here,4.339228559963023,16.0
olmoe,nf4,1,75.0,measured_here,2.1696142799815115,16.0
olmoe,nf4,8,0.0,measured_here,39.14895861366546,64.0
olmoe,nf4,8,12.5,measured_here,34.255338786957275,64.0
olmoe,nf4,8,25.0,measured_here,29.361718960249092,32.0
olmoe,nf4,8,37.5,measured_here,24.468099133540914,32.0
olmoe,nf4,8,50.0,measured_here,19.57447930683273,32.0
olmoe,nf4,8,75.0,measured_here,9.787239653416364,16.0
olmoe,nf4,32,0.0,measured_here,61.49775425268739,64.0
olmoe,nf4,32,12.5,measured_here,53.81053497110147,64.0
olmoe,nf4,32,25.0,measured_here,46.12331568951555,64.0
olmoe,nf4,32,37.5,measured_here,38.43609640792962,64.0
olmoe,nf4,32,50.0,measured_here,30.748877126343697,32.0
olmoe,nf4,32,75.0,measured_here,15.374438563171848,16.0
